,name,tel,address
41,한성대점,02-762-9294,"서울특별시 성북구  삼선교로2길 3,  1층(삼선동1가)"
42,한라초점,064-745-9245,"제주특별자치도 제주시  연화로3길 3-1, 1층(연동)"
43,한남대점,042-638-9492,대전광역시 동구 계족로443번길 70 1층 (용전동)
44,학익점,032-873-9922,"인천광역시 미추홀구 소성로 168, 1층"
45,학동사거리점,02-518-9492,"서울특별시 강남구  도산대로50길 21,  101호(논현동)"
46,하월곡점,02-941-9282,서울특별시 성북구 오패산로3길 122
47,"하안3,4동점",02-893-9282,경기도 광명시  하안로 254
48,하복대점,043-236-5594,충청북도 청주시 흥덕구  죽천로 120
49,하당지구점,061-285-9294,전라남도 목포시  옥암로96번길 14
50,하늘도시1호점,032-746-9492,"인천광역시 중구  하늘달빛로 64번길 6-3, 스카이프자라 105호"
51,하남풍산점,031-792-9290,"경기도 하남시 덕풍동로 111-10 트윈렉스1 113,114호	"
52,하남신장점,031-791-9492,경기도 하남시  신평로61번길 18
53,풍향산수점,062-269-9492,광주광역시 북구 풍향동 579-5번지
54,풍덕천1동점,031-262-9294,"경기도 용인시 수지구  수지로342번길 42, 1층(풍덕천동)"
55,풍납1호점,02-474-8292,서울특별시 송파구  풍성로24길 40
56,풍기점,054-637-9294/054-638-9294,경상북도 영주시 풍기읍 기주로 89
57,표선점,064-787-8295/064-787-8990,제주도 서귀포시 표선면 표선중앙로 106
58,포항흥해점,054-262-8294,경상북도 포항시 북구 흥해읍 한동로 40번길 20
59,포항효곡점,054-282-9294,"경상북도 포항시 남구  효자동길 10번길 27, 1층"
60,포항죽도점,054-277-8294,"경상북도 포항시 북구  죽파로 24, 1층"
61,포항오천점,054-292-9294,경상북도  포항시 남구 오천읍 냉천로340번길 16
62,포항양포점,054-276-9492,경상북도 포항시 남구  동해안로3268
63,포항양덕점,054-244-9494,경상북도 포항시 북구 천마로 103 1층(양덕동)
64,포항두호우현점,054-254-9294,"경상북도 포항시 북구  새천년대로 1020길 12, 213동 106호"
65,포항동해점,054-283-9294,"경상북도 포항시 남구 동해면 일월로 100, 1층"
66,포항대이양학점,054-282-9559,"경상북도 포항시 북구  이동로 48-1, 205호"
67,포천점,031-536-9288,경기도 포천시  원앙로 18-2
68,포천일동점,031-532-9492,경기도 포천시 일동면 기산6리 91-36
69,포천운천점,031-534-9493,경기도 포천시 영북면 운천로 6-1
70,평택포승점,031-684-9404,경기도 평택시 포승읍 도곡리 1141-17
71,평택팽성점,031-656-8294,"경기도 평택시 팽성읍 송화택지로 72, A 1층"
72,평택안중점,031-682-9492,"경기도 평택시 안중읍 안중로8번길64,1층"
73,평촌스마트점,031-423-9992,경기도 안양시 동안구  시민대로327번길 7
74,평창장평점,033-332-4509,"강원도 평창군 용평면 금송1길 49, 1층"
75,평내점,031-594-9492,경기도 남양주시  경춘로1286번안길 4-2
76,파주교하점,031-949-9484,경기도 파주시  책향기로 369
77,파장점,031-268-9492,"경기도 수원시 장안구  파장로 67, 1층 101호(정자동)"
78,퇴계원점,031-529-9973,"경기도 남양주시 퇴계원면 퇴계원로 94, 1층(퇴계원리 95)"
79,통진점,031-989-0290,경기도 김포시 통진읍 서암리 1113 서암주공아파트 제상가동 101호
80,통영죽림점,055-645-9294,경남 통영시 광도면 죽림3로 43-16
81,통영도남미수점,055-648-9294,경상남도 통영시 해평1길 6-4  (봉평동)
82,"태평2,4동점",031-755-9492,"경기도 성남시 수정구  탄리로 96번길 20, 102호"
83,태장우산점,033-747-9492,"강원도 원주시 북원로2718번길 2, 1층(태장동)"
84,태백점,033-553-9482/033-553-9488,강원도 태백시  상장남길 67
85,탄현점,031-912-9492,경기도 고양시 일산구 현중로 26번길 81
86,칠성고성점,053-354-9494,대구광역시 북구  호암로 30 1층 102호(칠성동2가)
87,칠금문화점,043-856-8294,충청북도 충주시  칠금3길 16-1
88,칠곡왜관점,054-972-9294,경상북도 칠곡군 왜관읍 2번도로길 64
89,충효탑정점,054-772-8294,"경상북도 경주시  충효녹지길 6-17, 1층"
90,충주호암용산점,043-855-9599,충청북도 충주시 호암동 133-10번지 102호
91,충장서남점,062-226-9282,광주광역시 동구  백서로 125번길 28-1
92,충북증평읍점,043-838-9482,충청북도 증평군 증평읍 초중로 45
93,충북제천1호점,043-652-9289,충청북도 제천시  의림대로 190
94,충북옥천점,043-731-9279,충청북도 옥천군 옥천읍 양수로 30-2
95,충북옥산점,043-263-9966/043-275-9494,충청북도 청주시 흥덕구 옥산면 가락길32
96,충북오창점,043-217-9289,"충청북도 청원군 오창읍 구룡4길6,101호"
97,충북괴산점,043-833-9495/043-833-9497,충청북도 괴산군 괴산읍 읍내로13길 21
98,충무로점,02-2268-9295,서울특별시 중구 충무로4가 120-3 진양상가 2층
99,충무공점,055-761-9248,"경상남도 진주시  범골로60번길 12, 준스타워 1동 107호"
100,충남합덕점,041-363-9272,충청남도 당진시 합덕읍 미락4길 33
101,충남태안점,041-674-9252,충청남도 태안군 태안읍 동문리 터널길 25
102,충남당진점,041-352-9294/041-353-9294,충청남도 당진시  읍내동 1096
103,충남논산점,041-733-9282,충청남도 논산시  내동 1169번지 101호
104,춘천후평점,033-253-9952,"강원도 춘천시  부평길 8, 1층 우측"
105,춘천효자점,033-257-8892,강원도 춘천시 서부대성로 180-1 1층 (효자동)
106,춘천소양점,033-243-8892,강원도 춘천시  서부대성로47번길 4 1층 (요선동)
107,춘천석사점,033-263-9582,강원도 춘천시 석사동 642번지
108,초월점,031-765-9492,"경기도 광주시 초월읍 경충대로1127번길 55, E편한세상 B-106호"
109,청파점,02-712-9892,서울특별시 용산구  청파로47길 17 지층 1층
110,청천2동점,032-522-9482,"인천광역시 부평구  평천로 158, 102호(청천동, 럭스96)"
111,청주용암점,043-297-9289,충청북도 청주시 상당구 용암동 2183번지
112,청주분평점,043-295-9277,"충청북도 청주시 서원구  청남로 1994 , 1층 (분평동)"
113,청주봉명점,043-272-9294,"충청북도 청주시 흥덕구  덕암로 108번길 61 , 102호(봉명동)"
114,청주동남지구점,043-286-0902,"충청북도 청주시 상당구  중고개로 104,  상가2동 103호(용암동, 칸타빌 더 테라스 2단지)"
115,청주금천점,043-223-9989,충청북도 청주시 상당구  중고개로 273번길 64
116,청주강서지구점,043-239-8292,충청북도 청주시 흥덕구  서현북로 24
117,청주가경점,043-236-9294,"충청북도 청주시 흥덕구  경산로 28, 1층(가경동)"
118,청북점,031-684-9004,경기도 평택시 청북읍 옥길리 1165-5
119,청룡점,02-886-9294,"서울특별시 관악구  쑥고개로 89, 1층"
120,청라2호점,032-565-9298,인천광역시 서구 경서동 981-93 1층 101호
121,청라1호점,032-568-9233,"인천광역시 서구 청라라임로100, 104"
122,청담점,02-541-9294,서울특별시 강남구 청담동 35-1 1층
123,첨단2호점,062-576-9233,"광주광역시 북구  첨단연신로91번길 44, 대성빌딩 112호"
124,철산1.2동점,02-2682-9294,"경기도 광명시  시청로 33, 101호, 102호(철산동)"
125,천호3동점,02-486-9492,"서울특별시 강동구  구천면로 238, 103호"
126,천호1동점,02-488-9492,서울특별시 강동구 천호1동 224-50번지
127,천안청수점,041-566-8294,충청남도 천안시 동남구 청수6로105 (청수동)
128,천안차암점,041-554-9492/041-554-9491,충청남도 천안시 서북구 차암동 435-1힐링제이타워 1층 115호
129,천안직산점,041-583-9482,"충청남도 천안시 서북구 직산읍 삼은3길 38, 102호"
130,천안용곡점,041-592-8292,충청남도 천안시 동남구  새말1길 47
131,천안쌍용점,041-573-5959,충청남도 천안시 서북구 쌍용13길 13-2 (쌍용동)
132,천안신부점,041-555-9492,충청남도 천안시 동남구 신부동 319-37
133,천안성환점,041-587-9595,충청남도 천안시 서북구  성환3로 38 1층
134,천안성정점,041-578-9294,충청남도  천안시 서북구  서부19길 4 1층 (성정동)
135,천안성성점,041-556-9482,충청남도 천안시 서북구  성성2길 54-1
136,천안불당점,041-577-9492,"충청남도 천안시 서북구 불당25로142, 골든프라자 102, 103호 (불당동)"
137,천안백석점,041-557-9492,"충청남도  천안시 서북구   백석4길 31, 108호"
138,천안두정점,041-563-9494,"충청남도 천안시 서북구  두정고3길 8, 1층(두정동)"
139,창현점,031-559-9285,경기도 남양주시 화도읍 경춘로창벌1길 19
140,창원팔용점,055-253-9492,경상남도 창원시 의창구 팔용동 183-9번지
141,창원중앙점,055-285-9282,"경상남도 창원시 성산구  용지로121번길 15, 1층"
142,창원소답점,055-251-8294,"경상남도 창원시 의창구  읍성로89번길 2, 1층 101호"
143,창원봉곡사림점,055-266-9492,경상남도 창원시 의창구  사림로 53
144,창원반송점,055-261-9294,"경상남도 창원시 성산구  원이대로393번길 17 ,  1층 2호(반지동)"
145,창원명서도계점,055-276-9294,경상남도 창원시 의창구  도계동396-7 1층
146,창원동읍점,055-252-9282,경상남도 창원시 의창구 동읍 용정길32번길 16
147,창원대방점,055-283-9494,"경상남도 창원시 성산구  창이대로901번길 30 , 8동 1층 120호(대방동, 대방그린빌아파트)"
148,창원감계점,055-255-0770,"경상남도 창원시 의창구 북면 감계로 266, 204호"
149,창녕읍점,055-533-9492,경상남도 창녕군 창녕읍  명덕로 6-1
150,창5동점,02-998-2292,"서울시 도봉구  노해로61길 4,  지층 비101호(창동, 리솜하우스)"
151,창4동점,02-902-9289,"서울특별시 도봉구  노해로70길 46, 125호(창동, 19단지종합상가)"
152,창2동점,02-997-0092,"서울특별시 도봉구  도봉로 110다길 51,  태영 창동데시앙 아파트상가 109호"
153,진해웅천점,055-542-9999,경상남도 진해시 성내동 359-1번지
154,진해용원웅동점,055-552-8595,경상남도 진해시 안골동 376-3
155,진해석동풍호점,055-544-9494,"경상남도 창원시 진해구  냉천로 88, 103호"
156,진천읍점,043-533-9492,충청북도 진천군 진천읍 중앙동로 132
157,진주하대초장점,055-759-9285,경상남도 진주시  하대로 116
158,진주칠암망경점,055-762-9285,경상남도 진주시  진주대로 849-10
159,진주신안평거점,055-748-9492/055-637-8607,경상남도 진주시 신평공원길 25번길 12-13
160,진주상봉봉안점,055-743-8294,경상남도 진주시  진주성로 103
161,진주상대점,055-758-9282,경상남도 진주시 돗골로 126-1 1층 (상대동)
162,진주금산점,055-761-9474,경상남도 진주시 금산면 중천로 74
163,진주가호점,055-752-9444,경상남도 진주시  진주대로 568번길 8
164,진접지구점,031-529-9482,경기도 남양주시 진접읍 해밀예당2로 117
165,진안점,031-222-9234,"경기도  화성시  병점동로 126, 1층 101,102호"
166,진부점,033-336-7889,강원도 평창군 진부면 진부중앙로 53
167,진도점,061-544-9480/061-544-9433,전라남도 진도군 진도읍 쌍정리 257-20
168,지행1호점,031-867-9292,경기도 동두천시  생연로9번길 23
169,지세포점,055-681-9422,경상남도 거제시 일운면 거제대로 2471
170,지산신장점,031-666-5959,경기도 평택시  송탄공원로73 (지산동)
171,중화1호점,02-492-8294,서울특별시 중랑구 중화1동 295-22
172,중촌목동점,042-222-9295,대전광역시 중구  중촌로24번길 23. 1층
173,중앙반월점,055-222-9296,"경상남도 창원시 마산합포   3.15대로 77, 105호"
174,중앙고잔점,031-414-9294,"경기도 안산시 단원구  당곡로 33,  104호(고잔동, 안산프라움씨티오피스텔)"
175,중산점,031-975-9291,"경기도 고양시 일산동구  탄중로431번길 32, 1층 1호"
176,중동2호점,032-329-9994/032-329-9996,경기도 부천시 원미구 중동 1058-1
177,중동1호점,032-321-2330,"경기도 부천시  중동로248번길 55 (중동, 무광프라자 109호)"
178,중곡4동점,02-452-9998,"서울특별시 광진구  영화사로 47, 1층(중곡동, 박빌딩)"
179,중곡1동점,02-499-9294,서울특별시 광진구  능동로 339
180,중계1동점,02-936-9492,"서울특별시 노원구  덕릉로 591,  1층 102호(중계동, 금화빌딩)"
181,죽전단국대점,031-897-9494,"경기도 용인시 수지구  죽전로 164, 1층 102호(죽전동, 화이트존)"
182,주엽2동점,031-918-9291,"경기도 고양시 일산서구  중앙로 1471, 105호"
183,주안3호점,032-872-9294,인천광역시 남구  미추홀대로 591
184,주안2호점,032-866-0444,인천광역시 미추홀구  석정로 379
185,주문진읍점,033-662-3920,강원도 강릉시 주문진읍 항구로41-1 1층
186,좌4동점,051-702-9482,"부산광역시 해운대구  세실로 174(좌동, 삼성아파트 분산상가 103호)"
187,"좌1,3동점",051-747-9266/051-704-9201,"부산광역시 해운대구  대천로67번길 15, 112호"
188,종암점,02-953-9192,"서울특별시 성북구  종암로 19길 46, 103호"
189,종로4가점,02-747-9294,"서울특별시 종로구 창경궁로 113, 1층"
190,조치원점,044-865-8292,"세종특별자치시  조치원읍   충현로 72,삼일상가@110호"
191,제천하소점,043-643-9294,충청북도 제천시  용두대로15가길 13
192,제주한림점,064-796-9454,제주도 제주시 한림읍 한림로 653
193,제주중문점,064-738-9280,제주도 서귀포시  천제연로 183-1
194,제주외도점,064-743-9294,"제주도 제주시  우정로18길 12, 1층"
195,제주영어도시점,064-792-8293,제주도 서귀포시 대정읍 에듀시티로 23 상가동 105호
196,제주연동점,064-747-9280,제주도 제주시 연동 274-21
197,제주아라점,064-702-9294,제주도 제주시 아라1동  1718-3 원신아파트 상가 1층
198,제주신촌점,064-721-4161,"제주도 제주시 조천읍 신북로 99, 1층"
199,제주신시가지점,064-739-9294,제주도 서귀포시  신서로 55 강정상록아파트 상가
200,제주동홍점,064-733-8292,제주도 서귀포시  일주동로 8588
201,제주노형점,064-746-8292,제주도 제주시  정존13길 14
202,정자마을점,031-716-9949,"경기도 성남시 분당구  내정로 54,  나상가동 1층 104호(정자동, 한솔마을주공6단지아파트)"
203,정자1동점,031-715-8294,"경기도 성남시 분당구  내정로119번길 17,  1(일부)층 102호(정자동)"
204,정읍수성점,063-537-9992,전라북도 정읍시  수성택지4길 4(수성동)
205,정읍상동점,063-532-9294,전라북도 정읍시  학산로 127-31(상동)
206,"정왕3,4동점",031-488-9492,"경기도 시흥시  정왕신길로49번길 28 107호(정왕동 1875-2, 미주아파트상가)"
207,정왕1동점,031-488-9294,"경기도 시흥시  봉우재로 10,  1층 일부호(정왕동)"
208,정발산점,031-925-3892,경기도 고양시 일산동구  산두로 239
209,정릉역점,02-943-9294,"서울특별시 성북구 정릉로 26길 8, 제상가동 1층"
210,정릉1호점,02-919-9294,서울특별시 성북구  보국문로16길 74
211,정관신도시점,051-728-9494,"부산광역시 기장군 정관읍 정관로 595, 110호"
212,정관모전점,051-723-9292,"부산광역시 기장군 정관면 정관로 350, 323동 B101호 (이지더원3차)"
213,전주평화점,063-287-9494,전라북도 전주시 완산구  평화로 139
214,전주진북점,063-272-8294,전라북도 전주시 덕진구 진북동 434-45번지
215,전주인후점,063-243-9294,전라북도 전주시 덕진구  견훤로 320 1층
216,전주에코시티점,063-278-9494,"전라북도 전주시 덕진구  세병로74, 212동 1층 101호"
217,전주아중점,063-246-9294,전라북도 전주시 덕진구  무삼지로 53
218,전주서신점,063-274-9294,전라북도 전주시 완산구  전룡로 28
219,전주삼천점,063-225-9294,"전라북도 전주시 완산구  난전들로258, 1층 5호 (삼천동1가)"
220,전주만성점,063-211-9294,"전라북도 전주시 덕진구  만성중앙로 53-37, 1층 103호"
221,전북혁신도시점,063-229-9294,"전라북도 완주군 이서면  출판로 42 , 101호"
222,전남화순점,061-375-9294,전라남도 화순군 화순읍 광덕리 305번지
223,전남장흥점,061-863-8592,전라남도 장흥군 장흥읍 장흥로 76-10 1층 104호
224,전남영암점,061-473-8245,전라남도 영암군 영암읍 중앙로 16
225,전남영광점,061-353-9294,전라남도 영광군 영광읍 옥당로 123
226,전남나주점,061-334-3070,"전라남도 나주시   중앙로 20,  1층, 오른쪽 첫번째칸(남내동 )"
227,전남광양읍점,061-763-9553 / 061-763-9552,전라남도 광양시 광양읍 유당로 43
228,전남강진점,061-433-9392,전라남도 강진군 강진읍 보은로1길 25
229,전곡점,031-835-9492,경기도 연천군 전곡읍 은전로86번길 18
230,장항점,031-907-7775,경기도 고양시 일산동구  중앙로 1129  호수마을 1단지 제중관동 1층 1058호
231,장천산동점,054-476-9285,"경상북도 구미시 산동면 산호대로39길16, 1동 101호"
232,장지역점,02-430-9294,서울특별시 송파구  새말로143 1층 (문정동)
233,장안2동점,02-2247-9393,서울특별시 동대문구  사가정로25길 22-3 1층(장안동)
234,장안1동점,02-2244-9299,"서울특별시 동대문구  장한로9길 16, 1층"
235,장성창포점,054-252-9595,경상북도 포항시 북구  대곡로 10
236,장성읍점,061-392-9492,전라남도 장성군 장성읍 청운길 9-1
237,장기감삼점,053-523-9492,대구광역시 달서구 장기동 528
238,장곡장현점,031-362-5892,"경기도 시흥시  장곡북로 43,  근린생활시설동 1층 5호(장곡동, 시흥장현 루벤시아 1차)"
239,잠원한강점,02-545-9666,"서울특별시 서초구  강남대로95길 47-4,  1층 2호(잠원동)"
240,잠실본동점,02-417-9290,서울특별시 송파구 잠실본동 222-10 1층
241,잠실2호점,02-414-9294,서울특별시 송파구  석촌호수로 135
242,잠실1호점,02-412-9492,서울특별시 송파구  올림픽로 35길 104-108
243,작전서운점,032-545-8294,인천광역시 계양구  까치말로45번길 10
244,작전2동점,032-541-9294,"인천광역시 계양구  계양대로 120번길 7, 102호"
245,자운점,042-862-9282042-862-9284,대전광역시 유성구 신봉동 5-2 창조레스텔 1층
246,자양점,02-458-9221,"서울특별시  광진구 자양3동 뚝섬로41길 8, B동 1층"
247,임학점,032-546-9294,"인천광역시 계양구  계양산로 216번길 14, 103호"
248,일신부개점,032-517-9229,인천광역시 부평구  경인로 1002번길 34-1
249,일산풍동점,031-932-9492,"경기도 고양시 일산구  고풍로 72-41, 104호"
250,일산식사점,031-962-9492,"경기도 고양시 일산구  위시티3로 75, 1층"
251,일산가좌점,031-922-8294,"경기도 고양시 일산서구  가좌3로 11,  1층 101호, 102호(가좌동, 오성프라자)"
252,일도동광초점,064-752-5592,제주도 제주시  연수로3길 7
253,일광신도시점,051-723-9293,"부산광역시 기장군 일광면 해빛로 39-14, 1층 102호"
254,인헌점,02-888-9492,서울특별시 관악구  인헌길 43
255,인천주안1호점,032-434-9495,"인천광역시 미추홀구 석바위로 112, 1층"
256,인천원당점,032-562-9492,"인천광역시 서구 당하동 1030-1, 106호"
257,인천운남점,032-752-9295,"인천광역시 중구   숲쟁이로 12, 상가동 B1호 (운남동, e편한세상 영종하늘도시)"
258,인천용현2점,032-884-9288,인천광역시 남구  낙섬중로 72
259,인천연희점,032-566-9794,인천광역시 서구 심곡동 336-4번지 1층 103호
260,인천신포점,032-765-9494,인천광역시 중구  신포로23번길 35-1
261,인천숭의점,032-884-8294,인천광역시 남구  수봉로 6-15
262,인천석남점,032-581-3100,인천광역시 서구  석남로 78
263,인천검단점,032-564-1001,인천광역시 서구 마전동 903-12번지 101호
264,인창1호점,031-515-9449,경기도 구리시 인창동 383-54번지 1층
265,인제점,033-461-9494/033-461-2517,강원도 인제군 인제읍 상동리 296-8
266,인계동수원점,031-217-9294,"경기도 수원시 팔달구  중부대로 192,1층(인계동 167-8)"
267,익산황등점,063-858-9492,전라북도 익산시 황등면 황등중앙로 21
268,익산영등점,063-833-9288,전라북도 익산시 고봉로32길 7  1층 (영등동)
269,익산어양점,063-835-1199,전라북도 익산시 무왕로19길 36 1층
270,익산신동점,063-837-9494,전북 익산시 익산대로68길 26
271,익산부송점,063-832-9288,"전라북도 익산시  무왕로26길 21, 1층(부송동)"
272,익산모현점,063-858-8998,전라북도 익산시  선화로3길 39-15
273,익산동산점,063-842-8998/063-842-8008,전라북도 익산시 중앙로166-1 1층 (마동)
274,이태원점,02-792-9291,서울특별시 용산구  우사단로12길 18
275,이충장당점,031-664-9492,경기도 평택시 송탄로 190 1층(서정동)
276,이천하이닉스점,031-635-9492,"경기도 이천시 부발읍 경충대로2092번길31, 1층 109호"
277,이천점,031-638-0655,경기도 이천시  이섭대천로 1381
278,이천관고점,031-638-9298,"경기도 이천시  영창로 149, 1층(관고동)"
279,이시아폴리스점,053-981-9812,"대구광역시 동구  팔공로 250, 118호"
280,이문2호점,02-966-9294,서울특별시 동대문구 이문동 345-7번지
281,이문1호점,02-967-2827,서울특별시 동대문구  신이문로 38
282,이매점,031-706-1567,경기도 성남시 분당구 이매동 91-1번지 102호
283,이대역점,02-718-9982,"서울시 마포구  신촌로 196, 1층 101호(염리동)"
284,의정부용현점,031-851-8694,"경기도 의정부시 (용현동) 용민로 75-27, 1층 굽네치킨"
285,의정부동점,031-875-9492,경기도 의정부시  신흥로 196
286,의정부녹양점,031-829-9244,경기도 의정부시 녹양동 326-2
287,의왕오전점,031-399-5599,경기도 의왕시  오전동길 25
288,의왕삼동부곡점,031-462-9297/031-462-9298,경기도 의왕시  솔밭길 18-4
289,응암1호점,02-353-9492,"서울특별시 은평구   응암로22길 7-1, 1층"
290,음성혁신1호점,043-883-9294,충청북도 음성군 맹동면 용두2나길 12
291,은행선화점,042-254-8292,대전광역시 중구  대종로549번길 14
292,은행동점,031-742-9295,경기도 성남시 중원구 은행동 701번지 1층
293,은평뉴타운점,02-388-9492,"서울특별시 은평구  진관4로 78-8, 701동 104호"
294,은천점,02-883-9495,"서울특별시 관악구  은천로 61, 1층"
295,은계지구점,031-317-9492,"경기도 시흥시 은계호수로 49, 1층 1085호(은행동, 시흥 센트롤돔그랑트리)"
296,율량사천점,043-213-9294,"충북 청주시 청원구  율천북로 55, 1층"
297,율량2지구점,043-241-9282,충청북도 청주시 청원구 주성로 289
298,유천점,042-523-9492,대전광역시 중구 태평로26번길 50
299,유성온천점,042-826-8294,"대전광역시 유성구  대학로 45,  스카이뷰로드 104호"
300,유가점,053-616-9482,대구광역시 달성군 유가읍 테크노중앙대로6길 20
301,위례1호점,031-751-9294,"경기도 성남시수정구 위례광장로 45, 1층 102호"
302,월피점,031-405-9492,"경기도 안산시 상록구 안산천서로5길 27, 1층"
303,월계2동점,02-906-9294,서울특별시 노원구 월계동 776 월계프라자 104호
304,원통점,033-461-0002,강원도 인제군 북면 원통로147번길 41
305,원주혁신점,033-731-9488,"강원도 원주시  황금로 13, 201호"
306,원주단구점,033-761-9258,"강원도 원주시  단구로 414, 1층 102호"
307,원주기업도시점,033-747-9294,"강원도 원주시 지정면 신지정로 197-5, 1층 102호"
308,원내점,042-543-9295,대전광역시 유성구  진잠로78번길 63 1층 (원내동)
309,원곡본동점,031-495-9482,경기도 안산시 단원구  화랑로 28
310,울산호계점,052-286-9984,"울산광역시 북구  호계매곡4로 42, 1층"
311,울산정자해변점,052-944-9494,"울산광역시 북구  강동산하2로 7,  201동 1층 107호"
312,울산일산점,052-251-9295,울산광역시 동구  대학길 162
313,울산온양점,052-239-9282,울산광역시 울주군 온양읍 대안리415-19번지
314,울산온산점,052-238-9295,울산광역시 울주군 온산읍 덕남로 17 (1층)
315,울산옥동신정1호점,052-273-9282,울산광역시 남구 옥동 1405-27번지
316,울산언양점,052-263-6622,울산광역시 울주군 언양읍 남문길 20 1층
317,울산야음점,052-269-0004/052-269-0023,울산광역시 남구  야음동 693-5
318,울산신정3호점,052-268-9294,울산광역시 남구 신정5동 265-50번지
319,울산송정점,052-287-9294,울산광역시 북구  화동로 16 (1층)
320,울산성안점,052-246-6994,울산광역시 중구  백양로 14
321,울산삼호점,052-222-9242,울산광역시 남구 무거동 1447-9호
322,울산삼산점,052-276-9255/052-276-9256,"울산광역시 남구  돋질로 334, 1층"
323,울산복산점,052-297-9294,울산광역시 중구  화합로 498
324,울산방어꽃바위점,052-201-9940,울산광역시 동구  화문로 41
325,울산반구점,052-298-8294,"울산광역시 중구  화합로 388, 1호"
326,울산무거점,052-249-9482,울산광역시 남구  신복로7 1층
327,울산달동점,052-266-9582,"울산광역시 남구  번영로89번길 23,  101호"
328,울산다운점,052-903-1173,울산광역시 중구  다운로 64
329,울산농소1호점,052-293-8294,울산광역시 북구 매곡1로 55-23
330,울산남목점,052-252-9929,울산광역시 동구  미포3길 35
331,운정3호점,031-944-9392,"경기도 파주시  가람로 6, 103호"
332,운정2호점,031-948-9282,"경기도 파주시  한울로 84,  518동 102호(동패동, 휴먼시아 한울마을)"
333,운정1호점,031-948-6692,"경기도 파주시  가온로 27, 월드아파트상가 108호"
334,운양점,031-988-8294,"경기도 김포시  김포한강11로 288-27,  1층 굽네치킨"
335,운서점,032-747-0992,인천광역시 중구  영종대로 124 (102호 운서동)
336,우정태화점,052-246-9982,울산광역시 중구  태화로 263
337,우장산동점,02-2607-9960,"서울특별시 강서구  화곡31길 18, 1층 3호"
